ASSET_ID,DIVISION_NAME,SURFACE_TYPE,AREA,PERIMETER,Location
PLAR621,ACTON,RUBBER SURFACE,21,25,"(-35.292492, 149.101334)"
PLGR492,ACTON,,7781,383,"(-35.292271, 149.101151)"
PLAR606,ACTON,RUBBER SURFACE,311,78,"(-35.292494, 149.100815)"
PLAR605,ACTON,RUBBER SURFACE,641,196,"(-35.292143, 149.101257)"
PLAR44,AINSLIE,TANBARK SURFACE,344,68,"(-35.263920, 149.137680)"
PLGR489,AINSLIE,,2497,178,"(-35.261673, 149.144196)"
PLGR4,AINSLIE,,2579,182,"(-35.253391, 149.156319)"
PLGR32,AINSLIE,,2965,194,"(-35.263920, 149.137680)"
PLGR1,AINSLIE,,5099,328,"(-35.268574, 149.141663)"
PLGR3,AINSLIE,,2731,185,"(-35.257801, 149.149445)"
PLAR602,AINSLIE,TANBARK SURFACE,185,55,"(-35.261673, 149.144196)"
PLAR8,AINSLIE,TANBARK SURFACE,196,56,"(-35.253391, 149.156311)"
PLAR7,AINSLIE,TANBARK SURFACE,281,60,"(-35.257801, 149.149452)"
PLAR5,AINSLIE,TANBARK SURFACE,65,32,"(-35.268848, 149.141373)"
PLAR4,AINSLIE,TANBARK SURFACE,129,41,"(-35.268799, 149.141754)"
PLAR2,AINSLIE,TANBARK SURFACE,51,31,"(-35.268766, 149.141571)"
PLAR1,AINSLIE,NONE,436,87,"(-35.268349, 149.141830)"
PLGR461,AMAROO,,2117,163,"(-35.176746, 149.124413)"
PLGR478,AMAROO,,2799,189,"(-35.170422, 149.119614)"
PLAR586,AMAROO,TANBARK SURFACE,312,78,"(-35.173729, 149.135231)"
PLAR589,AMAROO,TANBARK SURFACE,273,64,"(-35.170422, 149.119614)"
PLAR570,AMAROO,TANBARK SURFACE,198,54,"(-35.172264, 149.127708)"
PLAR571,AMAROO,TANBARK SURFACE,109,38,"(-35.176746, 149.124420)"
PLAR575,AMAROO,TANBARK SURFACE,198,58,"(-35.169157, 149.124222)"
PLGR475,AMAROO,,3135,204,"(-35.173729, 149.135216)"
PLGR460,AMAROO,,2535,180,"(-35.172264, 149.127701)"
PLGR474,AMAROO,,2720,185,"(-35.167881, 149.131912)"
PLGR465,AMAROO,,2588,182,"(-35.169155, 149.124222)"
PLAR585,AMAROO,TANBARK SURFACE,266,61,"(-35.167881, 149.131897)"
PLGR84,ARANDA,,2296,171,"(-35.259800, 149.077271)"
PLAR98,ARANDA,TANBARK SURFACE,128,45,"(-35.260666, 149.083618)"
PLGR86,ARANDA,,2479,179,"(-35.257637, 149.081665)"
PLGR85,ARANDA,,2773,193,"(-35.260576, 149.083603)"
PLAR97,ARANDA,TANBARK SURFACE,76,36,"(-35.260502, 149.083572)"
PLGR87,ARANDA,,2412,175,"(-35.254345, 149.080856)"
PLAR96,ARANDA,TANBARK SURFACE,141,45,"(-35.259800, 149.077278)"
PLAR100,ARANDA,TANBARK SURFACE,159,53,"(-35.254345, 149.080864)"
PLAR99,ARANDA,TANBARK SURFACE,159,54,"(-35.257637, 149.081665)"
PLAR256,BANKS,TANBARK SURFACE,154,52,"(-35.475998, 149.095238)"
PLGR413,BANKS,,4480,249,"(-35.470612, 149.096626)"
PLAR514,BANKS,TANBARK SURFACE,138,44,"(-35.470734, 149.096611)"
PLAR513,BANKS,TANBARK SURFACE,167,48,"(-35.470524, 149.096535)"
PLAR512,BANKS,TANBARK SURFACE,113,41,"(-35.470488, 149.096756)"
PLGR212,BANKS,,2765,190,"(-35.471725, 149.100258)"
PLAR255,BANKS,TANBARK SURFACE,212,69,"(-35.471725, 149.100288)"
PLGR213,BANKS,,2444,177,"(-35.475998, 149.095245)"
PLGR195,BARTON,,2999,202,"(-35.315359, 149.137436)"
PLAR225,BARTON,RUBBER SURFACE,164,86,"(-35.315386, 149.137436)"
PLAR158,BELCONNEN,TANBARK SURFACE,191,49,"(-35.248165, 149.074821)"
PLAR157,BELCONNEN,TANBARK SURFACE,196,50,"(-35.245998, 149.072556)"
PLAR155,BELCONNEN,TANBARK SURFACE,450,100,"(-35.227892, 149.062347)"
PLAR154,BELCONNEN,TANBARK SURFACE,221,59,"(-35.231678, 149.059669)"
PLAR153,BELCONNEN,TANBARK SURFACE,230,55,"(-35.234516, 149.059952)"
PLAR152,BELCONNEN,TANBARK SURFACE,219,61,"(-35.229309, 149.074463)"
PLAR151,BELCONNEN,TANBARK SURFACE,142,45,"(-35.225876, 149.069160)"
PLAR150,BELCONNEN,RUBBER SURFACE,39,26,"(-35.243172, 149.069786)"
PLAR149,BELCONNEN,RUBBER SURFACE,313,82,"(-35.236492, 149.075111)"
PLGR486,BELCONNEN,,3024,197,"(-35.236485, 149.075089)"
PLGR507,BELCONNEN,,501,90,"(-35.224667, 149.069389)"
PLAR768,BELCONNEN,TANBARK SURFACE,341,143,"(-35.225704, 149.063057)"
PLGR606,BELCONNEN,,5635,275,"(-35.237827, 149.074646)"
PLGR621,BELCONNEN,,4231,364,"(-35.225708, 149.063065)"
PLGR137,BELCONNEN,,2429,175,"(-35.248180, 149.074814)"
PLGR136,BELCONNEN,,2452,176,"(-35.246010, 149.072540)"
PLGR134,BELCONNEN,,2596,182,"(-35.227890, 149.062393)"
PLGR133,BELCONNEN,,2653,184,"(-35.231678, 149.059677)"
PLGR132,BELCONNEN,,2581,180,"(-35.234531, 149.059959)"
PLGR131,BELCONNEN,,2660,185,"(-35.229317, 149.074448)"
PLGR130,BELCONNEN,,2044,161,"(-35.225872, 149.069183)"
PLAR599,BELCONNEN,TANBARK SURFACE,369,80,"(-35.235729, 149.074799)"
PLAR661,BELCONNEN,TANBARK SURFACE,107,41,"(-35.224686, 149.069366)"
PLGR533,BELCONNEN,,1214,130,"(-35.236004, 149.075119)"
PLAR766,BELCONNEN,TANBARK SURFACE,264,62,"(-35.226452, 149.063148)"
PLAR767,BELCONNEN,TANBARK SURFACE,54,28,"(-35.226498, 149.063004)"
PLAR744,BELCONNEN,ASPHALT SURFACE,1391,149,"(-35.237827, 149.074646)"
PLAR660,BELCONNEN,TANBARK SURFACE,162,86,"(-35.236004, 149.075111)"
PLGR128,BELCONNEN,,3155,202,"(-35.235729, 149.074806)"
PLGR129,BELCONNEN,,1821,152,"(-35.243172, 149.069771)"
PLAR781,BONNER,TANBARK SURFACE,63,33,"(-35.156048, 149.143578)"
PLAR780,BONNER,TANBARK SURFACE,47,29,"(-35.155960, 149.143600)"
PLGR624,BONNER,,935,108,"(-35.154125, 149.150322)"
PLGR623,BONNER,,1382,140,"(-35.156021, 149.143669)"
PLAR754,BONNER,TANBARK SURFACE,263,82,"(-35.159328, 149.142799)"
PLGR613,BONNER,,1318,135,"(-35.159328, 149.142799)"
PLAR719,BONNER,RUBBER SURFACE,113,41,"(-35.161888, 149.136307)"
PLAR785,BONNER,TANBARK SURFACE,165,46,"(-35.154125, 149.150322)"
PLAR782,BONNER,TANBARK SURFACE,67,33,"(-35.156063, 149.143768)"
PLGR593,BONNER,,841,104,"(-35.161888, 149.136307)"
