ASSET ID,FEATURE TYPE,DIVISION NAME,LOCATION NAME,Location 1
TABL195,TABLE,ACTON,BLACK MOUNTAIN PENINSULA DISTRICT PARK,"(-35.290487, 149.099384)"
TABL196,TABLE,ACTON,BLACK MOUNTAIN PENINSULA DISTRICT PARK,"(-35.291811, 149.101185)"
TABL197,TABLE,ACTON,BLACK MOUNTAIN PENINSULA DISTRICT PARK,"(-35.286899, 149.100726)"
TABL198,TABLE,ACTON,BLACK MOUNTAIN PENINSULA DISTRICT PARK,"(-35.287323, 149.100758)"
TABL199,TABLE,ACTON,ACTON PARK DISTRICT PARK,"(-35.286212, 149.124313)"
TABL200,TABLE,ACTON,ACTON PARK DISTRICT PARK,"(-35.286167, 149.124592)"
TABL202,TABLE,ACTON,ACTON PARK DISTRICT PARK,"(-35.286167, 149.124660)"
TABL203,TABLE,ACTON,ACTON PARK DISTRICT PARK,"(-35.286167, 149.124692)"
TABL205,TABLE,ACTON,ACTON PARK DISTRICT PARK,"(-35.286194, 149.124745)"
SEAT3811,SEAT,ACTON,ACTON PARK DISTRICT PARK,"(-35.286815, 149.125181)"
SEAT3812,SEAT,ACTON,ACTON PARK DISTRICT PARK,"(-35.286783, 149.125231)"
TABL148,TABLE,ACTON,ACTON PARK DISTRICT PARK,"(-35.290581, 149.126844)"
TABL149,TABLE,ACTON,ACTON PARK DISTRICT PARK,"(-35.290004, 149.126931)"
TABL150,TABLE,ACTON,ACTON PARK DISTRICT PARK,"(-35.289076, 149.126234)"
TABL151,TABLE,ACTON,ACTON PARK DISTRICT PARK,"(-35.288779, 149.126202)"
TABL152,TABLE,ACTON,ACTON PARK DISTRICT PARK,"(-35.288301, 149.126209)"
TABL509,TABLE,ACTON,BLACK MOUNTAIN PENINSULA DISTRICT PARK,"(-35.292333, 149.099696)"
TABL510,TABLE,ACTON,BLACK MOUNTAIN PENINSULA DISTRICT PARK,"(-35.292461, 149.099549)"
TABL511,TABLE,ACTON,BLACK MOUNTAIN PENINSULA DISTRICT PARK,"(-35.292510, 149.099756)"
TABL512,TABLE,ACTON,BLACK MOUNTAIN PENINSULA DISTRICT PARK,"(-35.291956, 149.099751)"
TABL513,TABLE,ACTON,BLACK MOUNTAIN PENINSULA DISTRICT PARK,"(-35.291665, 149.100601)"
TABL514,TABLE,ACTON,BLACK MOUNTAIN PENINSULA DISTRICT PARK,"(-35.292234, 149.101006)"
TABL515,TABLE,ACTON,BLACK MOUNTAIN PENINSULA DISTRICT PARK,"(-35.292330, 149.099361)"
TABL516,TABLE,ACTON,BLACK MOUNTAIN PENINSULA DISTRICT PARK,"(-35.292288, 149.099439)"
TABL922,TABLE,ACTON,LADY DENMAN DRIVE PEDESTRIAN PARKLAND,"(-35.297935, 149.072073)"
TABL920,TABLE,ACTON,LADY DENMAN DRIVE PEDESTRIAN PARKLAND,"(-35.297710, 149.072307)"
TABL921,TABLE,ACTON,LADY DENMAN DRIVE PEDESTRIAN PARKLAND,"(-35.297903, 149.072231)"
TABL583,TABLE,ACTON,,"(-35.287141, 149.101334)"
TABL584,TABLE,ACTON,,"(-35.292360, 149.099712)"
TABL585,TABLE,ACTON,BLACK MOUNTAIN PENINSULA DISTRICT PARK,"(-35.292262, 149.100651)"
TABL571,TABLE,ACTON,GARRYOWEN DRIVE,"(-35.287224, 149.101324)"
TABL506,TABLE,ACTON,BLACK MOUNTAIN PENINSULA DISTRICT PARK,"(-35.292242, 149.101339)"
TABL435,TABLE,ACTON,,"(-35.286895, 149.125358)"
TABL436,TABLE,ACTON,ACTON PARK DISTRICT PARK,"(-35.286910, 149.125276)"
TABL437,TABLE,ACTON,ACTON PARK DISTRICT PARK,"(-35.286927, 149.125140)"
TABL438,TABLE,ACTON,ACTON PARK DISTRICT PARK,"(-35.286916, 149.125084)"
TABL468,TABLE,ACTON,BLACK MTN,"(-35.278976, 149.098377)"
TABL469,TABLE,ACTON,BLACK MTN,"(-35.278203, 149.098906)"
SEAT1968,SEAT,ACTON,BLACK MOUNTAIN PENINSULA DISTRICT PARK,"(-35.292389, 149.099240)"
SEAT1969,SEAT,ACTON,BLACK MOUNTAIN PENINSULA DISTRICT PARK,"(-35.291944, 149.100935)"
SEAT1970,SEAT,ACTON,BLACK MOUNTAIN PENINSULA DISTRICT PARK,"(-35.291867, 149.101002)"
SEAT1971,SEAT,ACTON,BLACK MOUNTAIN PENINSULA DISTRICT PARK,"(-35.291624, 149.100931)"
SEAT1973,SEAT,ACTON,BLACK MOUNTAIN PENINSULA DISTRICT PARK,"(-35.291564, 149.100168)"
SEAT1974,SEAT,ACTON,BLACK MOUNTAIN PENINSULA DISTRICT PARK,"(-35.291523, 149.100162)"
SEAT1976,SEAT,ACTON,BLACK MOUNTAIN PENINSULA DISTRICT PARK,"(-35.290834, 149.099780)"
SEAT1978,SEAT,ACTON,ACTON PARK DISTRICT PARK,"(-35.287453, 149.126190)"
SEAT4092,SEAT,ACTON,BLACK MOUNTAIN PENINSULA DISTRICT PARK,"(-35.292512, 149.100782)"
SEAT4093,SEAT,ACTON,BLACK MOUNTAIN PENINSULA DISTRICT PARK,"(-35.292382, 149.101395)"
SEAT4094,SEAT,ACTON,BLACK MOUNTAIN PENINSULA DISTRICT PARK,"(-35.292372, 149.101424)"
SEAT4095,SEAT,ACTON,BLACK MOUNTAIN PENINSULA DISTRICT PARK,"(-35.292500, 149.101349)"
TABL153,TABLE,ACTON,ACTON PARK DISTRICT PARK,"(-35.287094, 149.125514)"
TABL154,TABLE,ACTON,ACTON PARK DISTRICT PARK,"(-35.287031, 149.125481)"
TABL155,TABLE,ACTON,ACTON PARK DISTRICT PARK,"(-35.286959, 149.125412)"
TABL156,TABLE,ACTON,ACTON PARK DISTRICT PARK,"(-35.286968, 149.125300)"
TABL157,TABLE,ACTON,ACTON PARK DISTRICT PARK,"(-35.286320, 149.124819)"
TABL158,TABLE,ACTON,ACTON PARK DISTRICT PARK,"(-35.286257, 149.124755)"
TABL160,TABLE,ACTON,ACTON PARK DISTRICT PARK,"(-35.286248, 149.124638)"
TABL161,TABLE,ACTON,ACTON PARK DISTRICT PARK,"(-35.286266, 149.124551)"
TABL162,TABLE,ACTON,ACTON PARK DISTRICT PARK,"(-35.286203, 149.124481)"
TABL163,TABLE,ACTON,ACTON PARK DISTRICT PARK,"(-35.286149, 149.124342)"
TABL164,TABLE,ACTON,ACTON PARK DISTRICT PARK,"(-35.286275, 149.124391)"
TABL165,TABLE,ACTON,BLACK MOUNTAIN PENINSULA DISTRICT PARK,"(-35.286971, 149.101404)"
TABL166,TABLE,ACTON,BLACK MOUNTAIN PENINSULA DISTRICT PARK,"(-35.287070, 149.101377)"
TABL167,TABLE,ACTON,BLACK MOUNTAIN PENINSULA DISTRICT PARK,"(-35.287043, 149.101312)"
TABL168,TABLE,ACTON,BLACK MOUNTAIN PENINSULA DISTRICT PARK,"(-35.287268, 149.101378)"
TABL169,TABLE,ACTON,BLACK MOUNTAIN PENINSULA DISTRICT PARK,"(-35.287142, 149.101694)"
TABL170,TABLE,ACTON,BLACK MOUNTAIN PENINSULA DISTRICT PARK,"(-35.291415, 149.100144)"
TABL171,TABLE,ACTON,BLACK MOUNTAIN PENINSULA DISTRICT PARK,"(-35.291478, 149.099991)"
TABL173,TABLE,ACTON,BLACK MOUNTAIN PENINSULA DISTRICT PARK,"(-35.291650, 149.099861)"
TABL174,TABLE,ACTON,BLACK MOUNTAIN PENINSULA DISTRICT PARK,"(-35.291524, 149.099716)"
TABL181,TABLE,ACTON,BLACK MOUNTAIN PENINSULA DISTRICT PARK,"(-35.292343, 149.101148)"
TABL182,TABLE,ACTON,BLACK MOUNTAIN PENINSULA DISTRICT PARK,"(-35.292361, 149.101083)"
TABL183,TABLE,ACTON,BLACK MOUNTAIN PENINSULA DISTRICT PARK,"(-35.292379, 149.101057)"
TABL184,TABLE,ACTON,BLACK MOUNTAIN PENINSULA DISTRICT PARK,"(-35.292433, 149.101031)"
TABL185,TABLE,ACTON,BLACK MOUNTAIN PENINSULA DISTRICT PARK,"(-35.292478, 149.101076)"
TABL186,TABLE,ACTON,BLACK MOUNTAIN PENINSULA DISTRICT PARK,"(-35.292478, 149.101118)"
TABL188,TABLE,ACTON,BLACK MOUNTAIN PENINSULA DISTRICT PARK,"(-35.292226, 149.100764)"
TABL190,TABLE,ACTON,BLACK MOUNTAIN PENINSULA DISTRICT PARK,"(-35.291803, 149.100204)"
TABL191,TABLE,ACTON,BLACK MOUNTAIN PENINSULA DISTRICT PARK,"(-35.291667, 149.100131)"
TABL192,TABLE,ACTON,BLACK MOUNTAIN PENINSULA DISTRICT PARK,"(-35.291577, 149.100046)"
TABL193,TABLE,ACTON,BLACK MOUNTAIN PENINSULA DISTRICT PARK,"(-35.291496, 149.100203)"
TABL194,TABLE,ACTON,BLACK MOUNTAIN PENINSULA DISTRICT PARK,"(-35.290893, 149.099903)"
SEAT4091,SEAT,ACTON,BLACK MOUNTAIN PENINSULA DISTRICT PARK,"(-35.292509, 149.100707)"
SEAT3312,SEAT,ACTON,BLACK MOUNTAIN PENINSULA DISTRICT PARK,"(-35.291853, 149.098362)"
SEAT3313,SEAT,ACTON,BLACK MOUNTAIN PENINSULA DISTRICT PARK,"(-35.291964, 149.098424)"
SEAT3314,SEAT,ACTON,BLACK MOUNATIN PENINSULA DISTRICT PARK,"(-35.292092, 149.098493)"
SEAT3220,SEAT,ACTON,BLACK MOUNTAIN PENINSULA DISTRICT PARK,"(-35.292435, 149.101303)"
SEAT3246,SEAT,ACTON,BLACK MTN,"(-35.279636, 149.098662)"
SEAT3247,SEAT,ACTON,BLACK MTN,"(-35.279644, 149.098616)"
SEAT3248,SEAT,ACTON,BLACK MTN,"(-35.279678, 149.098524)"
SEAT3249,SEAT,ACTON,BLACK MTN,"(-35.279634, 149.098408)"
SEAT3250,SEAT,ACTON,BLACK MTN,"(-35.274500, 149.097605)"
SEAT3251,SEAT,ACTON,BLACK MTN,"(-35.274441, 149.097644)"
SEAT3252,SEAT,ACTON,BLACK MTN,"(-35.274424, 149.097558)"
SEAT3253,SEAT,ACTON,BLACK MTN,"(-35.274484, 149.097530)"
SEAT3254,SEAT,ACTON,BLACK MTN,"(-35.274332, 149.097259)"
SEAT3255,SEAT,ACTON,BLACK MTN,"(-35.274267, 149.097161)"
