ASSET_ID,DIVISION_NAME,LOCATION_DESCRIPTION,TOILET_TYPE_TEXT,Location
TOLT45,ACTON,ACTON PARK DISTRICT PARK - ACTON FERRY TERMINAL,MANUAL STYLE ABLUTION BLOCK,"(-35.286775, 149.124928)"
TOLT21,ACTON,BLACK MOUNTAIN PENINSULA DISTRICT PARK,MANUAL STYLE ABLUTION BLOCK,"(-35.292289, 149.100125)"
TOLT20,ACTON,BLACK MOUNTAIN PENINSULA DISTRICT PARK,MANUAL STYLE ABLUTION BLOCK,"(-35.287294, 149.101240)"
TOLT138,AINSLIE,AINSLIE SHOPS,MANUAL STYLE ABLUTION BLOCK,"(-35.262590, 149.145521)"
TOLT63,BARTON,BOWEN PARK,AUTOMATED SYSTEM EG EXCELOO BRAND TOILET,"(-35.308024, 149.139578)"
TOLT51,BARTON,TELOPEA PARK,MANUAL STYLE ABLUTION BLOCK,"(-35.314394, 149.137502)"
TOLT3,BELCONNEN,JOYNTON SMITH DRIVE PEDESTRIAN PARKLAND,MANUAL STYLE ABLUTION BLOCK,"(-35.227780, 149.063118)"
TOLT4,BELCONNEN,GINNINDERRA PENINSULA DISTRICT PARK,MANUAL STYLE ABLUTION BLOCK,"(-35.225351, 149.070427)"
TOLT1,BELCONNEN,EMU BANK PEDESTRIAN PARKLAND,MANUAL STYLE ABLUTION BLOCK,"(-35.239022, 149.071891)"
TOLT2,BELCONNEN,DIDDAMS CLOSE PEDESTRIAN PARKLAND,MANUAL STYLE ABLUTION BLOCK,"(-35.228706, 149.074316)"
TOLT5,BELCONNEN,JOHN KNIGHT MEMORIAL PARK,MANUAL STYLE ABLUTION BLOCK,"(-35.235937, 149.074708)"
TOLT86,BOOTH,GLENDALE PICNIC AREA,MANUAL STYLE ABLUTION BLOCK,"(-35.682677, 148.998949)"
TOLT87,BOOTH,BRANDY FLAT,PIT TOILET,"(-35.715222, 149.019659)"
TOLT18,BRADDON,HAIG PARK,MANUAL STYLE ABLUTION BLOCK,"(-35.270109, 149.131798)"
TOLT17,CAMPBELL,MOLONGLO REACH DISTRICT PARK,MANUAL STYLE ABLUTION BLOCK,"(-35.304301, 149.167193)"
TOLT6,CHARNWOOD,CHARNWOOD SHOPPING CENTRE,MANUAL STYLE ABLUTION BLOCK,"(-35.205232, 149.033642)"
TOLT22,CHIFLEY,SHANN PLACE - NEIGHBOURHOOD PARK,MANUAL STYLE ABLUTION BLOCK,"(-35.352376, 149.076430)"
TOLT43,CHISHOLM,CHISHOLM SHOPPING CENTRE,MANUAL STYLE ABLUTION BLOCK,"(-35.413384, 149.128291)"
TOLT13,CITY,GLEBE PARK,MANUAL STYLE ABLUTION BLOCK,"(-35.282411, 149.136397)"
TOLT142,CITY,MORT STREET ROAD VERGE,AUTOMATED SYSTEM EG EXCELOO BRAND TOILET,"(-35.277669, 149.130600)"
TOLT141,CITY,ALINGA STREET ROAD VERGE,AUTOMATED SYSTEM EG EXCELOO BRAND TOILET,"(-35.278422, 149.130372)"
TOLT96,COREE (RURAL),COTTER RESERVE,MANUAL STYLE ABLUTION BLOCK,"(-35.327899, 148.938159)"
TOLT102,COREE (RURAL),URIARRA WEST,MANUAL STYLE ABLUTION BLOCK,"(-35.245219, 148.951159)"
TOLT95,COREE (RURAL),COTTER RESERVE,MANUAL STYLE ABLUTION BLOCK,"(-35.322352, 148.941974)"
TOLT100,COREE (RURAL),SWAMP CREEK,MANUAL STYLE ABLUTION BLOCK,"(-35.242502, 148.951147)"
TOLT113,COREE (RURAL),COTTER CAMPGROUND,MANUAL STYLE ABLUTION BLOCKS WITH SHOWER FACILITIES,"(-35.325750, 148.947535)"
TOLT120,COREE (RURAL),BLUE RANGE - URIARRA PINES,PIT TOILET,"(-35.289639, 148.875490)"
TOLT97,COREE (RURAL),COTTER RESERVE,MANUAL STYLE ABLUTION BLOCK,"(-35.326173, 148.943792)"
TOLT133,COTTER RIVER,MT FRANKLIN,PIT TOILET,"(-35.490900, 148.765221)"
TOLT88,COTTER RIVER,BULLS HEAD PICNIC AREA,MANUAL STYLE ABLUTION BLOCK,"(-35.386919, 148.804353)"
TOLT89,COTTER RIVER,BENDORA DAM,MANUAL STYLE ABLUTION BLOCK,"(-35.442540, 148.827985)"
TOLT131,COTTER RIVER,CORIN DAM,MANUAL STYLE ABLUTION BLOCK,"(-35.534118, 148.834869)"
TOLT143,CRACE,NARDEN STREET COMMUNITY PARK,PUBLIC TOILET LOCATED WITHIN BUILDING,"(-35.201499, 149.102683)"
TOLT23,CURTIN,CURTIN SHOPPING CENTRE,MANUAL STYLE ABLUTION BLOCK,"(-35.325127, 149.082212)"
TOLT75,DEAKIN,BEDFORD STREET - NEIGHBOURHOOD PARK,AUTOMATED SYSTEM EG EXCELOO BRAND TOILET,"(-35.318049, 149.112969)"
TOLT64,DEAKIN,DEAKIN SHOPPING CENTRE,AUTOMATED SYSTEM EG EXCELOO BRAND TOILET,"(-35.314703, 149.107678)"
TOLT140,DICKSON,DUTTON STREET NEIGHBOURHOOD PARK,MANUAL STYLE ABLUTION BLOCK,"(-35.252467, 149.149243)"
TOLT12,DICKSON,DICKSON SHOPPING CENTRE,MANUAL STYLE ABLUTION BLOCK,"(-35.250445, 149.140455)"
TOLT11,DOWNER,MELBA STREET - PEDESTRIAN PARKLAND,MANUAL STYLE ABLUTION BLOCK,"(-35.245370, 149.145148)"
TOLT42,FADDEN,FADDEN PINES DISTRICT PARK,MANUAL STYLE ABLUTION BLOCK,"(-35.411678, 149.120754)"
TOLT139,FORDE,RAY ELLIS CRESCENT DISTRICT PARK,MANUAL STYLE ABLUTION BLOCK,"(-35.172385, 149.141825)"
