IIT_NE_ID,IIT_INV_TYPE,IIT_PRIMARY_KEY,IIT_ADMIN_UNIT,BBQ_ASSET_ID,BBQ_PARENT_ID,BBQ_X_POS,BBQ_Y_POS,BBQ_TYPE,BBQ_HOTPLATE,LU_NUMBER,RU_NUMBER,CONTRACT_UNIT,UOS_LOCATION,BBQ_TAP_AT_BBQ,BBQ_BENCH_TYPE,BBQ_WIRED_DOOR,BBQ_CLIMB_ACCESS,BBQ_HOTPLATE_MATERIAL
"4,325,150",BBQ,BBQ123,18,BBQ123,UOS12355,"206,700","584,504",ELECTRIC,DOUBLE,,,GORDON,POINT HUT DISTRICT PARK,Y,,,,
"4,223,956",BBQ,BBQ105,18,BBQ105,UOS14057,"212,784","604,017",ELECTRIC,DOUBLE,,,CAMPBELL,REMEMBERANCE PARK,N,STEEL,NO,TAP,
"4,223,982",BBQ,BBQ106,18,BBQ106,UOS14057,"212,808","604,063",ELECTRIC,DOUBLE,,,CAMPBELL,REMEMBERANCE PARK,,STEEL,NO,TAP,
"5,823,000",BBQ,BBQ125,18,BBQ125,UOS5373,,,ELECTRIC,DOUBLE,,,BARTON SOUTH,TELOPEA PARK,Y,STEEL,NO,TAP,
"5,823,001",BBQ,BBQ126,18,BBQ126,UOS5197,,,ELECTRIC,DOUBLE,,,BARTON SOUTH,BOWEN PARK,Y,STEEL,NO,NONE,
"5,823,003",BBQ,BBQ127,18,BBQ127,UOS17354,,,ELECTRIC,DOUBLE,302,303,FYSHWICK,MOLONGLO REACH WATER SKI,Y,STEEL,NO,TAP,
"5,823,004",BBQ,BBQ128,18,BBQ128,UOS17354,,,ELECTRIC,DOUBLE,300,301,FYSHWICK,MOLONGLO REACH WATER SKI,Y,STEEL,NO,TAP,
"6,050,715",BBQ,BBQ130,18,BBQ130,UOS19159,,,ELECTRIC,DOUBLE,,,DUNLOP,JAMES HARRISON STREET NEIGHBOURHOOD PARK,Y,,,,
"2,524,152",BBQ,BBQ1,18,BBQ1,UOS7089,"207,252","597,205",ELECTRIC,DOUBLE,236,237,PHILLIP,EDISON DISTRICT PARK,N,CONCRETE,YES,WALL,
"2,524,153",BBQ,BBQ2,18,BBQ2,UOS7089,"207,231","597,203",ELECTRIC,SINGLE,235,,PHILLIP,EDISON DISTRICT PARK,Y,CONCRETE,YES,WALL,
"2,524,154",BBQ,BBQ3,18,BBQ3,PUBP41,"206,605","596,793",ELECTRIC,DOUBLE,240,241,PHILLIP,PHILLIP TOWN CENTRE,N,BRICK,YES,WALL,
"2,524,155",BBQ,BBQ4,18,BBQ4,PUBP41,"206,947","596,820",ELECTRIC,DOUBLE,238,239,PHILLIP,PHILLIP TOWN CENTRE,Y,CONCRETE,YES,NONE,
"2,524,156",BBQ,BBQ5,18,BBQ5,UOS6526,"207,135","598,145",WOOD,DOUBLE,0,0,HUGHES,GROOM STREET - PEDESTRIAN PARKLAND,N,CONCRETE,NO,LOW,
"2,524,157",BBQ,BBQ6,18,BBQ6,UOS8278,"204,252","595,068",ELECTRIC,DOUBLE,275,276,FISHER,ARALUEN STREET - NEIGHBOURHOOD PARK,N,CONCRETE,YES,NONE,
"2,524,158",BBQ,BBQ7,18,BBQ7,UOS13821,"211,170","605,691",ELECTRIC,DOUBLE,86,87,BRADDON,LOWANNA STREET - NEIGHBOURHOOD PARK,N,CONCRETE,YES,NONE,
"2,524,159",BBQ,BBQ8,18,BBQ8,UOS13821,"211,237","605,761",ELECTRIC,DOUBLE,82,83,BRADDON,LOWANNA STREET - NEIGHBOURHOOD PARK,N,,,,
